Year,Player,Age,Season,Round,Overall,Team,Head Coach(es),Offensive Coordinator(s),Defensive Coordinator(s),SOS,Oline,Games,Targets,Receptions,Reception%,Rec. Yards,Rec. TDs,TPG,Market Share,RPG,YPT,YPR,YPG,Rec. TD%,Rush Att,Rush Yards,Rush TDs,RAPG,RYPG,Rush TD%,Total TDs,Total TD%,Targets,Receptions,Reception%,TD,%Targets,TD%,%Rec TD,Team Target%,Targets,Receptions,Reception%,TD,%Targets,TD%,%Rec TD,Team Target%,Fantasy Points (PPR),Fantasy Points (1/2PPR),Fantasy Points (STD),PPG (PPR),PPG (1/2PPR),PPG (STD),Positional (PPR),Positional (1/2PPR),Positional (STD),FPPT (PPR),FPPT (1/2PPR),FPPT (STD),FP from Rec.,FP from Yards,FP from TDs,PPR Machine,Yard Monster,TD Dependent
2017,DeAndre Hopkins,25,5,1,27,HOU,Bill O'Brien,,Mike Vrabel,0.455,30,15,174,96,55.17%,1378,13,11.6,33.14%,6.4,7.92,14.35,91.87,7.47%,0,0,0,0,0,0.00%,13,7.47%,19,9,47.37%,7,10.92%,36.84%,53.85%,30.20%,10,7,70.00%,7,5.75%,70.00%,53.85%,32.30%,309.8,261.8,213.8,20.7,17.5,14.3,1,1,1,1.78,1.5,1.23,30.99%,44.48%,25.18%,0,0,1
2017,Antonio Brown,29,8,6,195,PIT,Mike Tomlin,Todd Haley,Keith Butler,0.453,1,14,162,101,62.35%,1533,9,11.57,27.46%,7.21,9.46,15.18,109.5,5.56%,0,0,0,0,0,0.00%,9,5.56%,21,12,57.14%,6,12.96%,28.57%,66.67%,22.30%,10,7,70.00%,6,6.17%,60.00%,66.67%,22.70%,308.3,257.8,207.3,22,18.4,14.8,2,2,2,1.9,1.59,1.28,32.76%,49.72%,17.52%,0,0,0
2017,Keenan Allen,25,5,3,76,LAC,Anthony Lynn,Ken Whisenhunt,Gus Bradley,0.568,3,16,159,102,64.15%,1393,6,9.94,27.27%,6.38,8.76,13.66,87.06,3.77%,2,9,0,0.13,0.56,0.00%,6,3.73%,24,11,45.83%,4,15.09%,16.67%,66.67%,33.30%,15,7,46.67%,4,9.43%,26.67%,66.67%,33.30%,278.2,227.2,176.2,17.4,14.2,11,3,3,3,1.75,1.43,1.11,36.66%,50.07%,12.94%,0,1,0
2017,Jarvis Landry,25,4,2,63,MIA,Adam Gase,Clyde Christensen,Matt Burke,0.547,11,16,161,112,69.57%,987,9,10.06,26.74%,7,6.13,8.81,61.69,5.59%,1,-7,0,0.06,-0.44,0.00%,9,5.56%,23,18,78.26%,9,14.29%,39.13%,100.00%,30.30%,14,11,78.57%,9,8.70%,64.29%,100.00%,38.90%,260,204,148,16.3,12.8,9.3,4,7,13,1.61,1.27,0.92,43.08%,37.96%,20.77%,1,0,0
2017,Larry Fitzgerald,34,14,1,3,ARI,Bruce Arians,Harold Goodwin,James Bettcher,0.467,25,16,161,109,67.70%,1156,6,10.06,26.92%,6.81,7.18,10.61,72.25,3.73%,0,0,0,0,0,0.00%,6,3.73%,21,12,57.14%,6,13.04%,28.57%,100.00%,28.00%,7,4,57.14%,0,4.35%,0.00%,0.00%,26.90%,258.6,204.1,149.6,16.2,12.8,9.4,5,6,10,1.61,1.27,0.93,42.15%,44.70%,13.92%,1,0,0
2017,Michael Thomas,24,2,2,47,NO,Sean Payton,Pete Carmichael,Dennis Allen,0.514,2,16,149,104,69.80%,1245,5,9.31,27.80%,6.5,8.36,11.97,77.81,3.36%,0,0,0,0,0,0.00%,5,3.36%,17,10,58.82%,5,11.41%,29.41%,100.00%,20.20%,9,7,77.78%,5,6.04%,55.56%,100.00%,28.10%,258.5,206.5,154.5,16.2,12.9,9.7,6,5,7,1.73,1.39,1.04,40.23%,48.16%,11.61%,1,0,0
2017,Julio Jones,28,7,1,6,ATL,Dan Quinn,Steve Sarkisian,Marquand Manuel,0.521,8,16,148,88,59.46%,1444,3,9.25,27.92%,5.5,9.76,16.41,90.25,2.03%,1,15,0,0.06,0.94,0.00%,3,2.01%,22,8,36.36%,2,14.86%,9.09%,66.67%,26.80%,14,7,50.00%,2,9.46%,14.29%,66.67%,35.90%,251.9,207.9,163.9,15.7,13,10.2,7,4,6,1.7,1.4,1.11,34.93%,57.32%,7.15%,0,1,0
2017,Tyreek Hill,23,2,5,165,KC,Andy Reid,Matt Nagy,Bob Sutton,0.576,17,15,105,75,71.43%,1183,7,7,19.34%,5,11.27,15.77,78.87,6.67%,17,59,0,1.13,3.93,0.00%,7,5.74%,4,1,25.00%,0,3.81%,0.00%,0.00%,5.00%,1,0,0.00%,0,0.95%,0.00%,0.00%,4.20%,241.2,203.7,166.2,16.1,13.6,11.1,8,8,4,2.3,1.94,1.58,31.09%,49.05%,17.41%,0,0,0
2017,Adam Thielen,27,4,UDFA,UDFA,MIN,Mike Zimmer,Pat Shurmur,George Edwards,0.453,6,16,143,91,63.64%,1277,4,8.94,27.13%,5.69,8.93,14.03,79.81,2.80%,1,11,0,0.06,0.69,0.00%,4,2.78%,17,5,29.41%,2,11.89%,11.76%,50.00%,27.40%,8,1,12.50%,1,5.59%,12.50%,25.00%,26.70%,239.8,194.3,148.8,15,12.1,9.3,9,10,11,1.68,1.36,1.04,37.95%,53.25%,10.01%,0,1,0
2017,AJ Green,29,7,1,4,CIN,Marvin Lewis,"Bill Lazor, Ken Zampese",Paul Guenther,0.449,20,16,143,75,52.45%,1078,8,8.94,28.04%,4.69,7.54,14.37,67.38,5.59%,0,0,0,0,0,0.00%,8,5.59%,16,7,43.75%,6,11.19%,37.50%,75.00%,27.10%,8,4,50.00%,4,5.59%,50.00%,50.00%,30.80%,226.8,189.3,151.8,14.2,11.8,9.5,10,11,9,1.59,1.32,1.06,33.07%,47.53%,21.16%,0,0,0
2017,Marvin Jones,27,6,5,166,DET,Jim Caldwell,Jim Bob Cooter,Teryl Austin,0.469,21,16,107,61,57.01%,1101,9,6.69,18.77%,3.81,10.29,18.05,68.81,8.41%,0,0,0,0,0,0.00%,9,8.41%,15,5,33.33%,4,14.02%,26.67%,44.44%,19.20%,8,3,37.50%,3,7.48%,37.50%,33.33%,25.00%,225.1,194.6,164.1,14.1,12.2,10.3,11,9,5,2.1,1.82,1.53,27.10%,48.91%,23.99%,0,0,0
2017,Davante Adams,25,4,2,53,GB,Mike McCarthy,Edgar Bennett,Dom Capers,0.48,28,14,118,74,62.71%,885,10,8.43,21.00%,5.29,7.5,11.96,63.21,8.47%,0,0,0,0,0,0.00%,10,8.47%,23,15,65.22%,7,19.49%,30.43%,70.00%,34.80%,6,3,50.00%,3,5.08%,50.00%,30.00%,20.00%,222.5,185.5,148.5,15.9,13.3,10.6,12,13,12,1.89,1.57,1.26,33.26%,39.78%,26.97%,0,0,1
2017,Golden Tate,29,8,2,60,DET,Jim Caldwell,Jim Bob Cooter,Teryl Austin,0.469,21,16,120,92,76.67%,1003,5,7.5,21.05%,5.75,8.36,10.9,62.69,4.17%,5,22,0,0.31,1.38,0.00%,5,4.00%,8,7,87.50%,2,6.67%,25.00%,40.00%,10.30%,2,2,100.00%,1,1.67%,50.00%,20.00%,6.30%,222.5,176.5,130.5,13.9,11,8.2,13,15,20,1.85,1.47,1.09,41.35%,45.08%,13.48%,1,0,0
2017,Doug Baldwin,29,7,UDFA,UDFA,SEA,Pete Carroll,Darrell Bevell,Kris Richard,0.455,26,16,116,75,64.66%,991,8,7.25,20.90%,4.69,8.54,13.21,61.94,6.90%,2,-8,0,0.13,-0.5,0.00%,8,6.78%,8,5,62.50%,3,6.90%,37.50%,37.50%,10.80%,5,3,60.00%,2,4.31%,40.00%,25.00%,12.20%,221.3,183.8,146.3,13.8,11.5,9.1,14,14,14,1.91,1.58,1.26,33.89%,44.78%,21.69%,0,0,0
2017,Brandin Cooks,24,4,1,20,NE,Bill Belichick,Josh McDaniels,Matt Patricia,0.527,14,16,114,65,57.02%,1082,7,7.13,19.42%,4.06,9.49,16.65,67.63,6.14%,9,40,0,0.56,2.5,0.00%,7,5.69%,12,8,66.67%,4,10.53%,33.33%,57.14%,13.30%,6,3,50.00%,3,5.26%,50.00%,42.86%,16.20%,219.2,186.7,154.2,13.7,11.7,9.6,15,12,8,1.92,1.64,1.35,29.65%,49.36%,19.16%,0,0,0
2017,Demaryius Thomas,30,8,1,22,DEN,Vance Joseph,"Mike McCoy, Bill Musgrave",Joe Woods,0.578,29,16,140,83,59.29%,949,5,8.75,24.73%,5.19,6.78,11.43,59.31,3.57%,0,0,0,0,0,0.00%,5,3.57%,17,10,58.82%,5,12.14%,29.41%,100.00%,23.30%,8,4,50.00%,3,5.71%,37.50%,60.00%,28.60%,205.9,164.4,122.9,12.9,10.3,7.7,16,19,23,1.47,1.17,0.88,40.31%,46.09%,14.57%,1,0,0
2017,Mike Evans,24,4,1,7,TB,Dirk Koetter,Todd Monken,Mike Smith,0.518,16,15,136,71,52.21%,1001,5,9.07,22.48%,4.73,7.36,14.1,66.73,3.68%,0,0,0,0,0,0.00%,5,3.68%,19,5,26.32%,3,13.97%,15.79%,60.00%,26.40%,9,1,11.11%,1,6.62%,11.11%,20.00%,31.00%,201.1,165.6,130.1,13.4,11,8.7,17,18,21,1.48,1.22,0.96,35.31%,49.78%,14.92%,0,0,0
2017,Robby Anderson,24,2,UDFA,UDFA,NYJ,Todd Bowles,John Morton,Kacy Rodgers,0.535,27,16,114,63,55.26%,941,7,7.13,22.35%,3.94,8.25,14.94,58.81,6.14%,3,9,0,0.19,0.56,0.00%,7,5.98%,10,3,30.00%,1,8.77%,10.00%,14.29%,19.20%,5,0,0.00%,0,4.39%,0.00%,0.00%,20.00%,200,168.5,137,12.5,10.5,8.6,18,16,15,1.75,1.48,1.2,31.50%,47.05%,21.00%,0,0,0
2017,Stefon Diggs,24,3,5,146,MIN,Mike Zimmer,Pat Shurmur,George Edwards,0.453,6,14,95,64,67.37%,849,8,6.79,18.03%,4.57,8.94,13.27,60.64,8.42%,8,13,0,0.57,0.93,0.00%,8,7.77%,13,11,84.62%,7,13.68%,53.85%,87.50%,21.00%,6,4,66.67%,3,6.32%,50.00%,37.50%,20.00%,198.2,166.2,134.2,14.2,11.9,9.6,19,17,16,2.09,1.75,1.41,32.29%,42.84%,24.22%,0,0,0
2017,Devin Funchess,23,3,2,41,CAR,Ron Rivera,Mike Shula,Steve Wilks,0.504,19,16,112,63,56.25%,840,8,7,22.36%,3.94,7.5,13.33,52.5,7.14%,0,0,0,0,0,0.00%,8,7.14%,16,8,50.00%,5,14.29%,31.25%,62.50%,23.20%,5,4,80.00%,3,4.46%,60.00%,37.50%,16.70%,195,163.5,132,12.2,10.2,8.3,20,20,19,1.74,1.46,1.18,32.31%,43.08%,24.62%,0,0,0
2017,JuJu Smith-Schuster,21,1,2,62,PIT,Mike Tomlin,Todd Haley,Keith Butler,0.453,1,13,79,58,73.42%,917,7,6.08,13.39%,4.46,11.61,15.81,70.54,8.86%,0,0,0,0,0,0.00%,7,8.86%,15,9,60.00%,5,18.99%,33.33%,71.43%,16.00%,6,2,33.33%,2,7.59%,33.33%,28.57%,13.60%,191.7,162.7,133.7,14.7,12.5,10.3,21,21,17,2.43,2.06,1.69,30.26%,47.84%,21.91%,0,0,0
2017,Alshon Jeffery,27,6,2,45,PHI,Doug Pederson,Frank Reich,Jim Schwartz,0.531,12,16,120,57,47.50%,789,9,7.5,21.28%,3.56,6.58,13.84,49.31,7.50%,0,0,0,0,0,0.00%,9,7.50%,17,8,47.06%,7,14.17%,41.18%,77.78%,21.30%,8,5,62.50%,5,6.67%,62.50%,55.56%,25.80%,189.9,161.4,132.9,11.9,10.1,8.3,22,22,18,1.58,1.35,1.11,30.02%,41.55%,28.44%,0,0,1
2017,Nelson Agholor,24,3,1,20,PHI,Doug Pederson,Frank Reich,Jim Schwartz,0.531,12,16,95,62,65.26%,768,8,5.94,16.84%,3.88,8.08,12.39,48,8.42%,1,7,0,0.06,0.44,0.00%,8,8.33%,18,13,72.22%,4,18.95%,22.22%,50.00%,22.50%,9,6,66.67%,3,9.47%,33.33%,37.50%,29.00%,187.5,156.5,125.5,11.7,9.8,7.8,23,23,22,1.97,1.65,1.32,33.07%,40.96%,25.60%,0,0,1
2017,Dez Bryant,29,8,1,24,DAL,Jason Garrett,Scott Linehan,Rod Marinelli,0.531,15,16,132,69,52.27%,839,6,8.25,26.77%,4.31,6.36,12.16,52.44,4.55%,1,-4,0,0.06,-0.25,0.00%,6,4.51%,20,11,55.00%,5,15.15%,25.00%,83.33%,31.70%,10,4,40.00%,3,7.58%,30.00%,50.00%,35.70%,186.5,152,117.5,11.7,9.5,7.3,24,24,25,1.41,1.15,0.89,37.00%,44.99%,19.30%,0,0,0
2017,Cooper Kupp,24,1,3,69,LAR,Sean McVay,Matt LaFleur,Wade Phillips,0.482,9,15,94,62,65.96%,869,5,6.27,18.15%,4.13,9.24,14.02,57.93,5.32%,0,0,0,0,0,0.00%,5,5.32%,26,16,61.54%,6,27.66%,23.08%,120.00%,27.10%,8,5,62.50%,2,8.51%,25.00%,40.00%,20.00%,176.9,145.9,114.9,11.8,9.7,7.7,25,26,27,1.88,1.55,1.22,35.05%,49.12%,16.96%,0,0,0
