Player,2017,2016,2015,2014,2013,2012,2011,2010,2017,2016,2015,2014,2013,2012,2011,2010
Russell Wilson,21.49,16.17,21.03,20.36,16.89,17.21,,,7.52,7.28,7.43,9.06,5.51,9.39,,
Cam Newton,18.59,16.69,24.32,17.64,18.63,20.17,22.67,,8.55,6.01,8.72,7.99,7.59,9.11,7.4,
Alex Smith,19.67,14.64,16.69,14.53,15.96,9.09,13.11,12.07,7.95,6.61,5.1,4.82,8,8.87,4.84,6.5
Tom Brady,18.24,21.37,21.26,17.39,15.47,21.26,22.91,18.69,7.02,7.13,6.96,8.49,7.26,6.1,5.99,6.88
Kirk Cousins,17.35,18.79,18.09,14.75,6.72,10.27,,,7.34,6.31,9.15,8.76,8.41,7.88,,
Carson Wentz,21.05,13.02,,,,,,,5.58,4.52,,,,,,
Philip Rivers,16.91,16.19,17.52,16.61,18.02,13.02,15.79,17.46,6.32,4.65,7.18,8.28,6.05,5.76,5.41,5.22
Drew Brees,16.41,20.76,20.44,18.93,22.36,21.6,24.24,16.78,3.47,8.47,9.55,6.02,8.79,7.31,7.51,4.5
Dak Prescott,16.3,17.94,,,,,,,9.27,6.79,,,,,,
Matthew Stafford,16.86,17.36,18.74,15.56,17.21,17.08,21.21,16.17,5,6.09,8.01,7.29,6.8,6.57,7.45,10.55
Ben Roethlisberger,17.11,17.59,17.7,18.8,16.28,17.07,14.39,17.63,6.95,8.68,8.43,9.51,6.52,6.13,6.42,7.65
Jared Goff,17.03,7.6,,,,,,,6.43,4.03,,,,,,
Blake Bortles,15.24,16.13,19.63,11.86,,,,,7.17,5.51,7.45,4.4,,,,
Case Keenum,15.74,11.1,8.72,11.45,12.95,,,,6.77,7.85,4.74,4.15,7.78,,,
Matt Ryan,14.26,21.59,14.49,17.63,15.51,19.04,17.09,15.53,3.7,6.04,4.84,6.66,4.84,7.72,5.41,4.62
Tyrod Taylor,14.84,17.79,19.16,-0.3,1.5,3.7,9.8,,6.38,6.19,6.11,0,0.57,6.44,6.47,
Andy Dalton,13.17,16.29,18.78,13.42,18.01,15.67,12.96,,7.79,4.1,7.76,7.23,8.45,6.85,5.38,
Marcus Mariota,14.03,17.38,16.17,,,,,,4.41,8.58,10.31,,,,,
Jacoby Brissett,12.88,9.43,,,,,,,5.75,4.14,,,,,,
Josh McCown,15.82,10.02,16.01,11.54,16.76,,0,,8.31,7.64,8.69,6.28,10.42,,0,
Derek Carr,13.49,17.23,16.83,11.98,,,,,6.43,7.71,7.35,6.05,,,,
Jameis Winston,15.37,15.78,17.06,,,,,,7.92,5.9,4.29,,,,,
Eli Manning,12.49,14.01,17.98,16.84,10.66,14.56,17.55,14.43,7.58,5.37,8.42,7.67,6.48,8.03,6.04,6.63
Joe Flacco,11.43,14.63,16.01,16.4,12.73,14.57,12.7,14.45,5.98,5.31,7.29,7.03,4.29,8.04,6.09,5.76
DeShone Kizer,11.73,,,,,,,,8.62,,,,,,,
Deshaun Watson,23.54,,,,,,,,9.69,,,,,,,
Jay Cutler,11.26,9.36,14.95,16.55,14.78,12.3,13.63,13.88,6.83,4.49,4.48,6.05,6.15,6.26,6.33,8.74
Mitchell Trubisky,11.05,,,,,,,,5.22,,,,,,,
Aaron Rodgers,18.5,23.5,18.33,22.01,18.83,21.37,26.49,20.29,7.78,7.1,7.78,7.98,8.64,8.47,6.72,8.72
Trevor Siemian,11.47,13.54,-0.1,,,,,,6.9,7.18,0,,,,,
Brett Hundley,10.96,-0.38,,,,,,,7.86,0.73,,,,,,
Carson Palmer,14.63,16.08,19.33,17.27,13.58,14.69,6.23,13.87,6.14,5.7,4.91,4.65,6.12,6.34,4.49,6.74
CJ Beathard,14.8,,,,,,,,5.4,,,,,,,
Jimmy Garoppolo,14.58,5.8,-0.08,2.44,,,,,5.54,8.63,0.16,2.98,,,,
