Team,Attempts,Comp,Comp%,Yards,TDs,INTs,Att,Yard,TD,FPts - 4pt,FPts - 6pt,PosRank,Att,Yard,YPC,TD,Targets,Receptions,Yard,TD,PPR,1/2Pt,Standard,PosRank,Targets,Receptions,Rec%,Yard,TD,PPR,1/2Pt,Standard,PosRank,Targets,Receptions,Rec%,Yard,TD,PPR,1/2Pt,Standard,PosRank
ARI,34.63,21.13,62.31,233.44,1.50,0.94,3.06,15.19,0.31,16.61,19.61,14.94,11.38,49.00,3.97,0.44,4.75,3.63,29.94,0.13,14.58,12.77,10.96,20.06,6.88,3.94,62.06,66.13,0.69,14.68,12.71,10.74,24.25,5.44,3.44,63.92,32.69,0.31,8.58,6.86,5.14,21.88
ATL,34.50,22.56,65.65,233.06,1.38,0.50,4.06,27.46,0.19,16.64,19.39,13.56,10.31,41.81,4.12,0.25,5.50,4.31,32.25,0.25,14.59,12.44,10.28,20.25,7.63,5.13,69.41,64.25,0.69,15.77,13.21,10.64,22.25,5.19,3.19,64.60,36.38,0.25,8.33,6.73,5.14,19.25
BAL,33.13,19.63,58.30,217.13,1.06,1.13,2.19,11.14,0.00,11.81,14.08,20.75,15.06,59.75,3.92,0.69,4.31,3.19,27.94,0.13,16.71,15.11,13.52,16.44,9.13,5.63,64.82,81.31,0.31,15.66,12.84,10.03,22.19,5.44,3.75,72.49,39.31,0.44,10.18,8.31,6.43,19.44
BUF,35.38,22.75,64.56,237.81,0.88,1.13,2.50,8.44,0.25,12.87,14.62,19.38,13.88,65.38,4.91,0.63,4.38,3.38,23.56,0.13,16.64,14.96,13.27,18.63,8.38,5.88,68.67,77.44,0.50,16.51,13.58,10.64,26.00,4.44,3.38,78.63,40.69,0.25,8.94,7.26,5.57,20.06
CAR,34.38,21.94,63.94,248.06,1.56,0.63,3.06,19.08,0.00,15.18,18.30,15.25,8.00,39.56,6.57,0.25,3.94,3.13,23.50,0.00,10.93,9.37,7.81,28.56,8.94,5.31,64.72,73.63,0.56,16.05,13.39,10.74,23.31,4.06,2.75,75.22,32.69,0.44,8.64,7.27,5.89,19.88
CHI,31.56,20.63,66.21,221.81,1.13,0.50,2.63,12.15,0.00,12.97,15.22,18.94,12.13,52.81,4.50,0.44,3.88,3.31,22.94,0.06,13.39,11.73,10.08,23.06,7.25,5.00,71.32,63.81,0.63,15.15,12.65,10.15,24.63,5.13,3.69,72.87,37.94,0.25,8.98,7.14,5.29,20.06
CIN,34.31,20.63,60.69,221.75,1.25,0.63,3.00,18.60,0.19,15.46,17.96,14.38,16.00,65.06,4.00,0.38,5.00,3.50,34.50,0.13,16.46,14.71,12.96,16.38,8.75,5.00,57.08,59.31,0.63,14.73,12.23,9.73,24.44,5.00,3.75,77.44,43.88,0.31,10.01,8.14,6.26,20.63
CLE,32.81,22.50,68.54,242.56,1.75,0.44,3.63,18.09,0.25,18.08,21.58,11.38,15.06,53.19,3.72,0.44,4.25,3.25,29.69,0.25,15.66,14.04,12.41,18.19,8.19,5.94,72.86,84.38,0.69,18.50,15.53,12.56,18.75,5.56,4.13,76.36,41.00,0.63,11.85,9.79,7.73,14.88
DAL,34.25,22.94,67.45,231.69,1.75,0.56,3.31,16.85,0.06,16.08,19.58,15.00,12.88,59.50,4.71,0.19,5.06,4.13,33.50,0.13,15.18,13.11,11.05,18.75,9.44,6.25,65.70,72.81,0.81,18.58,15.45,12.33,17.75,4.31,3.19,75.63,33.75,0.38,8.81,7.22,5.63,18.94
DEN,28.44,17.06,58.45,197.56,1.81,0.44,2.75,8.40,0.06,15.18,18.80,15.25,14.44,46.94,3.21,0.31,3.56,3.00,22.19,0.25,13.16,11.66,10.16,23.38,7.31,4.13,63.53,59.63,0.56,13.36,11.30,9.24,30.06,5.56,3.88,70.66,50.56,0.50,11.93,9.99,8.06,15.38
