Player,Top-12,13-24,25-36,Rest,%Top-12,%13-24,%25-36,%Rest
Russell Wilson,52,32,12,0,54.17,33.33,12.50,0.00
Cam Newton,62,39,9,1,55.86,35.14,8.11,0.90
Alex Smith,61,68,33,23,32.97,36.76,17.84,12.43
Tom Brady,76,35,13,0,61.29,28.23,10.48,0.00
Kirk Cousins,37,22,13,0,51.39,30.56,18.06,0.00
Carson Wentz,12,14,3,0,41.38,48.28,10.34,0.00
Philip Rivers,61,49,18,0,47.66,38.28,14.06,0.00
Matthew Stafford,62,38,14,13,48.82,29.92,11.02,10.24
Drew Brees,77,43,7,0,60.63,33.86,5.51,0.00
Dak Prescott,18,8,6,0,56.25,25.00,18.75,0.00
Ben Roethlisberger,55,42,16,4,47.01,35.90,13.68,3.42
Jared Goff,6,10,6,0,27.27,45.45,27.27,0.00
Blake Bortles,25,24,6,4,42.37,40.68,10.17,6.78
Case Keenum,14,13,19,5,27.45,25.49,37.25,9.80
Matt Ryan,60,54,14,0,46.88,42.19,10.94,0.00
Tyrod Taylor,29,20,14,7,41.43,28.57,20.00,10.00
Andy Dalton,46,42,21,0,42.20,38.53,19.27,0.00
Marcus Mariota,16,15,10,1,38.10,35.71,23.81,2.38
Jacoby Brissett,4,9,6,0,21.05,47.37,31.58,0.00
Josh McCown,16,19,11,2,33.33,39.58,22.92,4.17
Derek Carr,21,26,15,0,33.87,41.94,24.19,0.00
Jameis Winston,17,24,4,0,37.78,53.33,8.89,0.00
Eli Manning,47,49,31,0,37.01,38.58,24.41,0.00
Joe Flacco,39,58,25,0,31.97,47.54,20.49,0.00
DeShone Kizer,7,1,7,0,46.67,6.67,46.67,0.00
Deshaun Watson,5,1,1,0,71.43,14.29,14.29,0.00
Jay Cutler,34,40,25,2,33.66,39.60,24.75,1.98
Mitchell Trubisky,2,5,5,0,16.67,41.67,41.67,0.00
Aaron Rodgers,78,21,11,1,70.27,18.92,9.91,0.90
Trevor Siemian,6,9,10,1,23.08,34.62,38.46,3.85
Brett Hundley,2,3,9,1,13.33,20.00,60.00,6.67
Carson Palmer,40,45,16,0,39.60,44.55,15.84,0.00
CJ Beathard,1,4,1,0,16.67,66.67,16.67,0.00
Jimmy Garoppolo,4,5,5,7,19.05,23.81,23.81,33.33
Ryan Fitzpatrick,36,43,25,3,33.64,40.19,23.36,2.80
Brock Osweiler,7,11,17,13,14.58,22.92,35.42,27.08
Brian Hoyer,15,15,30,15,20.00,20.00,40.00,20.00
Blaine Gabbert,17,21,22,0,28.33,35.00,36.67,0.00
Tom Savage,5,7,8,7,18.52,25.93,29.63,25.93
Drew Stanton,11,13,8,16,22.92,27.08,16.67,33.33
TJ Yates,4,2,20,7,12.12,6.06,60.61,21.21
Kevin Hogan,2,0,5,0,28.57,0.00,71.43,0.00
Nick Foles,14,14,19,1,29.17,29.17,39.58,2.08
Mike Glennon,10,11,12,1,29.41,32.35,35.29,2.94
Matt Moore,7,15,13,20,12.73,27.27,23.64,36.36
Sam Bradford,19,44,17,0,23.75,55.00,21.25,0.00
Bryce Petty,0,3,6,1,0.00,30.00,60.00,10.00
David Fales,1,0,2,0,33.33,0.00,66.67,0.00
Paxton Lynch,0,2,3,0,0.00,40.00,60.00,0.00
EJ Manuel,4,10,10,1,16.00,40.00,40.00,4.00
Nathan Peterman,0,0,4,0,0.00,0.00,100.00,0.00
Patrick Mahomes,0,1,0,0,0.00,100.00,0.00,0.00
Ryan Mallett,1,11,16,11,2.56,28.21,41.03,28.21
Geno Smith,10,12,13,0,28.57,34.29,37.14,0.00
Landry Jones,1,3,10,3,5.88,17.65,58.82,17.65
Nate Sudfeld,0,0,1,0,0.00,0.00,100.00,0.00
Sean Mannion,0,0,6,1,0.00,0.00,85.71,14.29
Cody Kessler,1,2,9,0,8.33,16.67,75.00,0.00
AJ McCarron,0,3,6,0,0.00,33.33,66.67,0.00
Matt Cassel,12,21,21,6,20.00,35.00,35.00,10.00
Cooper Rush,0,0,2,0,0.00,0.00,100.00,0.00
Scott Tolzien,0,2,4,2,0.00,25.00,50.00,25.00
Taylor Heinicke,0,0,1,0,0.00,0.00,100.00,0.00
Derek Anderson,2,7,20,9,5.26,18.42,52.63,23.68
Joe Callahan,0,0,1,0,0.00,0.00,100.00,0.00
Austin Davis,2,1,10,0,15.38,7.69,76.92,0.00
Chase Daniel,1,0,30,13,2.27,0.00,68.18,29.55
Chad Henne,7,23,19,2,13.73,45.10,37.25,3.92
Jake Rudock,0,0,1,0,0.00,0.00,100.00,0.00
Kellen Clemens,7,10,13,21,13.73,19.61,25.49,41.18
